ERR420386	ERR420387	ERR420388	ERR420389	ERR420390	ERR420391	ERR420392	ERR420393
653635	47	151	93	112	19	159	42	20
100422834	1	0	0	0	0	0	1	0
645520	1	2	0	0	0	1	3	0
79501	0	0	0	0	0	0	0	0
729737	15	35	47	57	5	29	15	15
100507658	10	5	15	8	8	6	12	4
100132287	2	12	28	29	5	8	4	5
100288646	14	11	9	5	2	17	9	1
729759	0	0	2	2	4	0	1	1
100131754	208	220	406	496	272	195	184	315
81399	0	3	5	8	10	1	4	6
100287654	12	11	19	15	17	9	15	9
100133331	6	20	79	95	11	23	5	14
100288069	34	31	35	32	26	25	30	30
100287934	14	11	19	14	26	11	10	19
400728	5	2	14	11	10	10	8	6
79854	14	13	21	27	14	10	15	18
643837	94	71	98	124	89	80	104	92
100506327	5	7	32	14	18	9	9	21
284593	1	3	5	9	5	4	2	2
284600	1	0	0	1	0	2	1	0
100130417	0	4	7	2	0	5	0	2
148398	0	12	8	5	1	11	0	0
26155	45	104	142	123	23	93	44	26
339451	3	14	7	14	1	14	2	1
84069	0	2	1	1	0	1	0	0
84808	0	2	0	0	0	0	1	0
57801	0	24	4	3	0	25	1	0
9636	3	95	169	161	4	100	0	3
375790	19	282	382	384	15	265	18	10
401934	0	0	0	0	0	0	0	0
54991	0	32	24	20	1	29	1	1
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0
254173	0	0	1	0	0	0	0	0
8784	0	3	1	3	0	3	0	0
7293	0	2	6	1	0	1	0	0
51150	39	233	597	672	47	207	35	43
126792	54	90	87	100	40	87	53	33
388581	0	0	3	0	0	2	0	0
118424	60	110	138	141	33	108	56	61
6339	2	42	32	24	1	32	3	0
116983	25	303	100	113	6	285	32	3
126789	0	16	19	18	3	25	2	2
54973	31	150	215	206	27	167	32	24
80772	14	65	171	172	11	58	9	16
83756	0	4	7	5	2	1	0	0
1855	29	292	223	243	11	276	25	11
54587	16	55	65	65	11	46	13	5
100506404	3	2	1	0	0	1	6	0
54998	11	282	406	338	8	287	13	12
81669	171	193	227	257	167	167	173	168
148413	20	58	134	125	35	60	9	14
55052	248	308	393	368	257	305	236	237
441869	64	88	7	3	2	89	55	2
643965	2	73	0	0	0	82	3	0
100288271	0	2	5	6	0	3	0	0
64856	16	200	200	245	10	240	9	8
219293	3	7	47	44	15	6	4	13
83858	0	44	41	54	4	42	1	3
55210	2	50	74	57	1	53	1	5
